#{"t_start": 1679656571.191491, "env_id": "CarRacing-v0"}
r,l,t
-6.015038,1000,48.009706
-51.661631,1000,90.418486
-82.698962,1000,136.880025
-35.37415,1000,189.47878
-27.927928,1000,246.819882
-55.017301,1000,303.456175
-68.944099,1000,365.013164
16.352201,1000,426.735282
41.891892,1000,486.22357
-33.333333,1000,537.965424
-14.498141,1000,586.441248
67.883212,1000,635.932382
22.257053,1000,686.584784
222.259136,1000,734.872879
291.585761,1000,783.024692
250.482315,1000,835.735361
243.859649,1000,887.617648
219.620253,1000,936.63649
87.07483,1000,984.775483
159.649123,1000,1037.42544
-22.509225,1000,1092.702562
459.440559,1000,1146.783797
-47.916667,1000,1203.862565
71.641791,1000,1259.560538
56.069364,1000,1317.029189
341.935484,1000,1373.380495
96.428571,1000,1429.830839
198.932384,1000,1486.109605
252.112676,1000,1542.508949
133.81295,1000,1597.794836
492.982456,1000,1654.112071
