#{"t_start": 1679614350.5628314, "env_id": "CarRacing-v0"}
r,l,t
-78.441128,1000,47.367478
-72.920696,1000,92.395543
-74.820144,1000,138.050585
-42.675159,1000,184.999342
22.082585,1000,231.974738
-4.33213,1000,278.594276
-4.017857,1000,328.688567
86.219739,1000,385.943529
48.897059,1000,438.500847
42.095915,1000,489.0959
9.82659,1000,539.587889
-48.419301,1000,590.231242
5.166052,1000,639.878234
119.858156,1000,688.041151
120.930233,1000,738.097439
82.640145,1000,788.577561
82.149362,1000,837.935939
-30.03413,1000,888.341163
41.818182,1000,938.930784
0.869565,1000,991.854127
98.0,1000,1044.099572
159.187621,1000,1090.56431
4.631218,1000,1140.964488
62.950257,1000,1190.895864
-47.058824,1000,1241.169617
36.690647,1000,1293.327779
120.070423,1000,1343.208202
48.373984,1000,1394.109866
225.095057,1000,1444.465646
-52.542373,1000,1495.204393
11.531191,1000,1545.939932
8.655617,1000,1596.908673
197.029703,1000,1645.838763
80.904523,1000,1696.486296
54.135338,1000,1745.943693
87.372709,1000,1795.513561
179.513889,1000,1845.70263
87.607573,1000,1894.74405
-28.229665,1000,1946.098704
64.285714,1000,1995.928476
6.317411,1000,2047.328968
80.327869,1000,2099.860471
128.624535,1000,2146.752828
70.648464,1000,2197.342846
75.438596,1000,2248.488965
53.061224,1000,2300.627429
18.461538,1000,2352.026428
127.40113,1000,2402.377634
16.959064,1000,2459.670921
113.036566,1000,2526.147726
166.331658,1000,2586.325747
-0.696864,1000,2649.587352
-21.259843,1000,2712.416989
150.965251,1000,2777.105196
316.363636,1000,2845.287738
82.389937,1000,2911.206896
182.051282,1000,2979.371868
292.703863,1000,3054.437859
157.08502,1000,3131.459287
314.201183,1000,3197.287393
51.986183,1000,3268.291674
15.808824,1000,3336.237241
111.469534,1000,3403.477653
-27.272727,1000,3461.748165
277.04918,1000,3533.971553
125.28363,1000,3601.494341
186.290323,1000,3674.090941
96.581197,1000,3747.881912
58.518519,1000,3828.042503
35.902637,1000,3907.019944
-4.33213,1000,3990.94431
159.856631,1000,4076.444377
37.667304,1000,4159.147566
301.980198,1000,4243.247533
20.879121,1000,4319.675594
152.129472,1000,4401.10724
33.874239,1000,4473.425996
67.701863,1000,4563.759534
